[Epoch 066] train_loss=0.6524 acc=0.6818 f1=0.6674 | val_loss=0.6444 acc=0.7143 f1=0.7019 | epoch_time=0.24s
[Epoch 067] train_loss=0.6536 acc=0.6990 f1=0.6849 | val_loss=0.6424 acc=0.7103 f1=0.6995 | epoch_time=0.13s
[Epoch 068] train_loss=0.6463 acc=0.6873 f1=0.6718 | val_loss=0.6394 acc=0.7153 f1=0.7044 | epoch_time=0.13s
[Epoch 069] train_loss=0.6501 acc=0.6841 f1=0.6683 | val_loss=0.6405 acc=0.7103 f1=0.6973 | epoch_time=0.13s
[Epoch 070] train_loss=0.6502 acc=0.6878 f1=0.6719 | val_loss=0.6405 acc=0.7133 f1=0.7007 | epoch_time=0.13s
[Epoch 071] train_loss=0.6437 acc=0.6903 f1=0.6752 | val_loss=0.6405 acc=0.7133 f1=0.7007 | epoch_time=0.13s
[Epoch 072] train_loss=0.6475 acc=0.6853 f1=0.6696 | val_loss=0.6397 acc=0.7153 f1=0.7025 | epoch_time=0.13s
[Epoch 073] train_loss=0.6482 acc=0.6963 f1=0.6824 | val_loss=0.6390 acc=0.7173 f1=0.7045 | epoch_time=0.14s
[Epoch 074] train_loss=0.6424 acc=0.6930 f1=0.6776 | val_loss=0.6407 acc=0.7083 f1=0.6967 | epoch_time=0.13s
[Epoch 075] train_loss=0.6476 acc=0.6898 f1=0.6752 | val_loss=0.6421 acc=0.7123 f1=0.7001 | epoch_time=0.13s
[Epoch 076] train_loss=0.6466 acc=0.6868 f1=0.6716 | val_loss=0.6400 acc=0.7153 f1=0.7035 | epoch_time=0.13s
[Epoch 077] train_loss=0.6483 acc=0.6890 f1=0.6741 | val_loss=0.6400 acc=0.7123 f1=0.7006 | epoch_time=0.13s
[Epoch 078] train_loss=0.6431 acc=0.6928 f1=0.6782 | val_loss=0.6401 acc=0.7143 f1=0.7029 | epoch_time=0.13s
[Epoch 079] train_loss=0.6398 acc=0.6968 f1=0.6818 | val_loss=0.6390 acc=0.7183 f1=0.7069 | epoch_time=0.13s
[Epoch 080] train_loss=0.6479 acc=0.6870 f1=0.6713 | val_loss=0.6400 acc=0.7133 f1=0.7018 | epoch_time=0.13s
[Epoch 081] train_loss=0.6516 acc=0.6846 f1=0.6672 | val_loss=0.6392 acc=0.7153 f1=0.7024 | epoch_time=0.14s
[Epoch 082] train_loss=0.6437 acc=0.6925 f1=0.6773 | val_loss=0.6396 acc=0.7123 f1=0.6996 | epoch_time=0.13s
[Epoch 083] train_loss=0.6551 acc=0.6863 f1=0.6703 | val_loss=0.6400 acc=0.7133 f1=0.7009 | epoch_time=0.13s
[Epoch 084] train_loss=0.6457 acc=0.6883 f1=0.6729 | val_loss=0.6402 acc=0.7123 f1=0.7010 | epoch_time=0.13s
[Epoch 085] train_loss=0.6477 acc=0.6968 f1=0.6809 | val_loss=0.6391 acc=0.7163 f1=0.7038 | epoch_time=0.13s
[Epoch 086] train_loss=0.6385 acc=0.6913 f1=0.6758 | val_loss=0.6390 acc=0.7173 f1=0.7056 | epoch_time=0.13s
[Epoch 087] train_loss=0.6484 acc=0.6920 f1=0.6774 | val_loss=0.6408 acc=0.7123 f1=0.6994 | epoch_time=0.13s
[Epoch 088] train_loss=0.6430 acc=0.6930 f1=0.6779 | val_loss=0.6410 acc=0.7083 f1=0.6963 | epoch_time=0.13s
[Epoch 089] train_loss=0.6504 acc=0.6848 f1=0.6694 | val_loss=0.6404 acc=0.7103 f1=0.6985 | epoch_time=0.13s
[Epoch 090] train_loss=0.6443 acc=0.6978 f1=0.6837 | val_loss=0.6406 acc=0.7133 f1=0.7008 | epoch_time=0.13s
[Epoch 091] train_loss=0.6486 acc=0.6853 f1=0.6685 | val_loss=0.6390 acc=0.7133 f1=0.7010 | epoch_time=0.13s
[Epoch 092] train_loss=0.6451 acc=0.6953 f1=0.6803 | val_loss=0.6392 acc=0.7163 f1=0.7036 | epoch_time=0.13s
[Epoch 093] train_loss=0.6491 acc=0.6863 f1=0.6700 | val_loss=0.6397 acc=0.7123 f1=0.7000 | epoch_time=0.13s
[Epoch 094] train_loss=0.6464 acc=0.6923 f1=0.6769 | val_loss=0.6395 acc=0.7113 f1=0.6995 | epoch_time=0.13s
