SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,SFR,BulgeMass,EffectiveRadius,VelocityDispersion,Metallicity
698720,93,-1,123678771.8,-17.5014,-17.7703,-17.9171,-18.0183,0.2689,0.4157,0.101493063,,0.6832,38.8052,0.00885924
698874,93,-1,810245054.6,-17.826,-18.145,-18.3283,-18.4666,0.319,0.5023,0.182459307,380580000,1.1283,45.1784,0.0165442
699253,93,1,154517271.9,-17.1396,-17.4327,-17.5887,-17.697,0.2931,0.4491,0.089917384,,0.6465,43.5737,0.00967868
699308,93,1,24963094.18,-15.8868,-16.035,-16.1296,-16.1973,0.1482,0.2428,0.026415622,,0.37,32.9134,0.00630844
699465,93,-1,498420431.1,-17.988,-18.2444,-18.3967,-18.5124,0.2564,0.4087,0.222335313,189753000,1.0236,44.7276,0.0141741
699781,93,-1,63743726.01,-16.5546,-16.7767,-16.9044,-16.9923,0.2221,0.3498,0.035598582,,0.4745,40.4011,0.00847445
699967,93,-1,233185710.1,-17.0161,-17.2814,-17.4369,-17.5582,0.2653,0.4208,0.08847815,,0.763,41.0057,0.0135488
700247,93,-1,219294360.8,-17.3109,-17.6864,-17.8791,-18.0088,0.3755,0.5682,0.069137617,312826000,0.5989,41.3142,0.0100854
700452,93,-1,759374077.4,-18.3864,-18.8287,-19.0563,-19.211,0.4423,0.6699,0.185286588,162133000,1.1328,47.331,0.0131427
701538,93,1,979170357.2,-17.7303,-18.2896,-18.5652,-18.7578,0.5593,0.8349,0.050200786,195359000,1.1283,48.8418,0.017486
701935,93,-1,174800708.6,-17.2422,-17.6257,-17.8288,-17.9684,0.3835,0.5866,0.087720131,286531000,0.8097,45.8329,0.0118365
702146,93,-1,262341305,-17.1939,-17.4849,-17.6549,-17.7803,0.291,0.461,0.102392732,,0.702,47.1884,0.0130288
702269,93,-1,147874225,-16.844,-17.0774,-17.2168,-17.3176,0.2334,0.3728,0.070379809,,0.4448,38.1634,0.0109753
702885,93,-1,693873634.5,-17.9118,-18.2207,-18.3994,-18.5341,0.3089,0.4876,0.170797948,275928000,1.0744,42.3696,0.0164188
704396,93,1,146589902.6,-17.1344,-17.4493,-17.6167,-17.7318,0.3149,0.4823,0.073832113,,0.6022,42.7515,0.0105239
704722,93,1,262415116.6,-18.1713,-18.4132,-18.5565,-18.6609,0.2419,0.3852,0.252168327,133716000,0.8821,46.8882,0.0110237
705074,93,1,340699734.3,-17.6039,-17.8998,-18.069,-18.1941,0.2959,0.4651,0.114473462,401918000,0.7766,42.5829,0.0144678
706631,93,1,284455270.2,-17.132,-17.5325,-17.7404,-17.8833,0.4005,0.6084,0.058623534,364796000,0.5672,42.9413,0.0127902
706708,93,-1,635857691.2,-17.7823,-18.1783,-18.3983,-18.5551,0.396,0.616,0.131437864,453309000,0.7044,47.7192,0.0173998
707061,93,1,47992323.59,-16.5645,-16.7965,-16.9298,-17.0234,0.232,0.3653,0.068835458,,0.3925,42.0211,0.00761372
707327,93,1,132964275.2,-17.1484,-17.3837,-17.5182,-17.6115,0.2353,0.3698,0.102018904,,0.5748,42.0611,0.00781958
707764,93,-1,653188662.5,-17.6025,-17.9355,-18.1299,-18.276,0.333,0.5274,0.128312316,566543000,0.9472,43.6277,0.017175
707831,93,-1,296058458.8,-17.4482,-17.7292,-17.8902,-18.0121,0.281,0.442,0.097027641,350633000,0.7309,44.5635,0.013412
707898,93,1,281118984.4,-17.9444,-18.1318,-18.2482,-18.3382,0.1874,0.3038,0.168373905,76550800,0.9572,38.966,0.0109208
708331,93,-1,171863005.6,-17.0328,-17.338,-17.5092,-17.6341,0.3052,0.4764,0.082132758,,0.4024,39.7775,0.0130945
708522,93,-1,1307041630,-17.9652,-18.3461,-18.5647,-18.7335,0.3809,0.5995,0.174536935,145925000,1.3803,45.3328,0.0204111
709157,93,1,215426631.2,-17.3235,-17.5763,-17.721,-17.8277,0.2528,0.3975,0.130702125,,0.6021,38.965,0.00998651
709917,93,-1,232403306.8,-17.052,-17.3441,-17.5098,-17.6286,0.2921,0.4578,0.079437036,,0.7494,43.8335,0.0121444
710448,93,-1,190478299.4,-17.2176,-17.4614,-17.604,-17.7089,0.2438,0.3864,0.104687753,,0.7314,38.1784,0.0113771
711083,93,-1,182609979.3,-17.0902,-17.3654,-17.5231,-17.6391,0.2752,0.4329,0.09048913,,0.7647,41.8655,0.0108185
711225,93,-1,376424564.5,-17.8969,-18.1738,-18.3386,-18.463,0.2769,0.4417,0.219041225,151692000,0.8602,44.6618,0.0132122
711427,93,1,269456746.4,-17.272,-17.5795,-17.749,-17.8726,0.3075,0.477,0.088132881,277146000,0.728,41.2547,0.0116026
712090,93,-1,584322409.2,-18.0681,-18.3808,-18.5667,-18.7085,0.3127,0.4986,0.215988621,181209000,1.0918,44.4107,0.015902
712176,93,-1,69619131.98,-16.307,-16.5361,-16.6696,-16.7659,0.2291,0.3626,0.041618965,,0.4599,36.4148,0.00932169
712296,93,-1,65426631.24,-16.798,-16.9485,-17.0421,-17.1141,0.1505,0.2441,0.084924003,,0.4454,41.8575,0.00911082
712497,93,1,412917035.7,-17.8618,-18.2454,-18.453,-18.5984,0.3836,0.5912,0.143382667,166426000,0.8689,44.372,0.0118229
714910,93,1,201697667.6,-17.667,-17.8734,-17.9984,-18.0928,0.2064,0.3314,0.157584728,314041000,0.6632,39.568,0.0105624
715114,93,1,89105403.01,-16.724,-16.9939,-17.1439,-17.2496,0.2699,0.4199,0.06560464,,0.5239,38.4475,0.0091636
715307,93,-1,158901682.9,-17.0419,-17.3589,-17.529,-17.6484,0.317,0.4871,0.050532695,,0.6145,43.092,0.0104828
715483,93,-1,46604664.9,-16.4123,-16.5983,-16.7113,-16.7936,0.186,0.299,0.051384287,,0.417,32.847,0.00796916
715544,93,1,541496899.9,-18.0396,-18.2978,-18.4621,-18.5889,0.2582,0.4225,0.201690659,130790000,1.158,44.8141,0.0157952
716419,93,-1,307927369.4,-17.675,-17.9872,-18.1594,-18.283,0.3122,0.4844,0.117302081,168509000,0.773,39.5252,0.0131101
716600,93,1,200014762.3,-17.426,-17.6257,-17.7462,-17.8397,0.1997,0.3202,0.114471265,,0.651,39.5368,0.0112614
716653,93,-1,421567759.1,-17.4567,-17.7687,-17.9477,-18.0793,0.312,0.491,0.143244025,400441000,0.474,37.8443,0.0158274
716770,93,1,301092412.2,-17.2706,-17.6307,-17.8173,-17.9478,0.3601,0.5467,0.06456136,406077000,0.6996,39.5033,0.0128349
717089,93,-1,310510776.5,-17.6573,-17.9812,-18.1609,-18.2911,0.3239,0.5036,0.123194211,90211700,0.8645,43.4587,0.0123592
717617,93,1,53912016.53,-16.8117,-17.0198,-17.1381,-17.2214,0.2081,0.3264,0.079625936,,0.4558,40.6194,0.00759241
717720,93,-1,31650428.11,-15.2405,-15.5978,-15.7807,-15.9022,0.3573,0.5402,0.010801241,,0.3446,37.5182,0.00881753
717762,93,1,96914673.75,-16.61,-16.9014,-17.064,-17.179,0.2914,0.454,0.038404318,,0.5269,39.5411,0.00993834
718030,93,-1,634647180.4,-17.7726,-18.1428,-18.3499,-18.5005,0.3702,0.5773,0.074731312,360191000,0.9246,44.5346,0.0150659
718247,93,1,13212282.26,-15.9034,-16.0195,-16.0941,-16.1481,0.1161,0.1907,0.032651941,,0.3123,38.8373,0.00565152
718538,93,-1,529746088,-17.7727,-18.053,-18.2142,-18.3353,0.2803,0.4415,0.183129158,246064000,0.974,43.8656,0.0142843
720028,93,-1,44464127.55,-15.8805,-16.0484,-16.1615,-16.2488,0.1679,0.281,0.043028911,,0.3952,37.6507,0.00901576
720179,93,-1,312046058.5,-17.6484,-17.929,-18.089,-18.2084,0.2806,0.4406,0.147026043,67960000,0.9588,42.3016,0.0127409
720559,93,-1,445896073.2,-17.6887,-18.0834,-18.2908,-18.4336,0.3947,0.6021,0.11243643,72264400,1.0308,45.4647,0.011591
721002,93,1,224402125.8,-17.183,-17.4835,-17.6513,-17.7699,0.3005,0.4683,0.068236052,,0.642,38.4447,0.0117164
721309,93,-1,987392973.1,-17.8128,-18.3107,-18.5692,-18.7508,0.4979,0.7564,0.096876241,442334000,0.9981,40.2825,0.0179248
722000,93,-1,294685562.4,-17.6911,-17.901,-18.0343,-18.1346,0.2099,0.3432,0.160230802,,0.9722,38.056,0.0126726
722907,93,1,97992323.59,-16.5245,-16.8749,-17.0575,-17.1841,0.3504,0.533,0.033533988,,0.5056,38.1012,0.0103399
723721,93,1,3454384.411,-13.4649,-14.098,-14.3869,-14.5558,0.6331,0.922,0,,0.2094,22.1033,0.00595747
723964,93,1,50103336.29,-16.6815,-16.8884,-17.0001,-17.0754,0.2069,0.3186,0.049623505,,0.4564,37.4604,0.00689323
724441,93,-1,244626513.1,-16.8429,-17.3276,-17.5709,-17.7342,0.4847,0.728,0.032628228,493423000,0.6326,41.0832,0.0134993
724648,93,-1,94242692.65,-16.4433,-16.8431,-17.0482,-17.1847,0.3998,0.6049,0.025094798,,0.4234,38.1256,0.00969961
724767,93,-1,94419840.57,-16.6491,-16.9278,-17.0882,-17.202,0.2787,0.4391,0.051179663,,0.4937,37.9583,0.0105204
725376,93,1,114157071.2,-17.3992,-17.589,-17.7017,-17.7892,0.1898,0.3025,0.125214664,,0.604,36.6301,0.00956156
725816,93,-1,305240625.9,-17.8012,-18.0576,-18.2037,-18.3155,0.2564,0.4025,0.152157858,389120000,0.7709,42.0867,0.0148698
725847,93,1,108311189.8,-16.8164,-17.0536,-17.1912,-17.2916,0.2372,0.3748,0.059062743,,0.5738,36.9231,0.0088072
726648,93,-1,229450841.5,-17.1558,-17.4368,-17.6085,-17.7414,0.281,0.4527,0.068142079,,0.778,40.2694,0.0144468
727639,93,-1,198331857.1,-17.954,-18.1467,-18.2615,-18.3482,0.1927,0.3075,0.153911069,71305300,0.63,37.059,0.0098994
728482,93,1,73073516.39,-16.5375,-16.8427,-17.002,-17.111,0.3052,0.4645,0.034617913,,0.5155,37.1144,0.00873346
