ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_70263,0,1.651184,1.7061491,1.6823986,-0.30862975,0.709804,-0.8788752,0.49518058,0.51071924,-0.4534952,-0.6318768,-0.7835713,-0.689522,-0.8307521,-0.88089347,-0.009776205,1.1727142,0.52927774
91_70264,0,2.740439,2.5618746,2.5542989,-0.36916593,-2.8656554,2.1096864,-0.76234674,0.43103233,-0.33559954,-0.65784943,-0.89394385,-0.74964976,-0.9658178,-1.0479139,0.24887238,2.893912,2.1089768
91_70265,0,2.6916523,2.512906,2.5056207,-0.36916593,0.57938075,-0.50164133,-0.18649627,0.5926707,-0.3403088,-0.6571877,-0.8890311,-0.74733925,-0.95920277,-1.0396085,0.17884538,2.6600635,1.4336582
91_70266,0,-0.31646457,-0.18158872,-0.13635789,0.051101442,0.7122677,-0.9115643,0.7998664,0.3576264,-0.8490727,-0.80618525,-0.77658427,-0.79508936,-0.767584,-0.7574902,-0.11260751,0.3453633,0.21988012
91_70267,0,2.4789145,2.3353949,2.3173695,-0.36631033,0.6981168,-0.85521346,0.15495919,0.5536177,-0.2979255,-0.5869349,-0.80284005,-0.6708181,-0.8680564,-0.9416574,0.08338845,2.1563184,1.0123584
91_70269,0,1.9584458,1.9987361,1.9770526,-0.35257924,0.75121355,-1.044745,0.2941471,0.296056,-0.19673125,-0.40744305,-0.590392,-0.4773422,-0.64753765,-0.7108724,-0.06695733,0.6223094,0.39093623
91_70270,0,-0.56766874,-0.27279267,-0.19063626,-0.00858257,0.4472082,-0.8314027,0.9976257,0.34044993,-0.82251465,-0.73422307,-0.6931771,-0.71768796,-0.6832154,-0.67534643,-0.08244972,0.62630916,0.16584295
91_70272,0,2.325987,2.2233794,2.2126896,-0.3519947,-0.7133638,-0.99299866,0.24538578,0.49644822,-0.26912236,-0.5371404,-0.7415948,-0.61608154,-0.80418354,-0.8753208,0.076557785,2.0262635,0.96818846
91_70273,0,2.6925905,2.5092332,2.5000205,-0.36916593,0.02313107,-0.6861288,0.071170114,0.3799302,-0.06936233,-0.38488936,-0.6193225,-0.47569185,-0.6911317,-0.77431554,0.05280773,2.9263976,1.2150762
91_70274,0,-0.099973984,0.091410965,0.1483882,-0.15802439,-0.045143496,-0.96189964,-0.5491928,-0.09370472,-0.5435734,-0.51712334,-0.5132622,-0.51442003,-0.51512873,-0.519525,-0.13601771,-0.122933924,0.13080418
91_70275,0,0.7575446,1.0309951,1.0379505,-0.25385624,0.74231017,-0.8852004,-0.100937754,0.11843757,-0.4549737,-0.51166415,-0.59645104,-0.5420909,-0.62563217,-0.657128,-0.093694866,0.7936367,0.031315207
91_70277,0,1.4635432,1.448452,1.4191915,-0.32482147,0.46810514,-0.2106419,-0.061130036,0.07776094,-0.17093988,-0.33476397,-0.46642756,-0.38481262,-0.50759196,-0.5513537,-0.078679465,0.9474776,0.19306402
91_70278,0,0.56662,0.7206569,0.7506197,-0.12709473,-0.014854633,-0.876954,0.69062626,0.5227684,-0.7334221,-0.78545135,-0.8389213,-0.8049364,-0.8572121,-0.87741053,-0.07467973,0.5580382,0.45438984
91_70279,0,2.416524,2.3054018,2.2807531,-0.36916593,0.6291672,-1.0007855,0.44884363,0.25614846,0.038183928,-0.23771152,-0.45409116,-0.3212192,-0.520822,-0.59657836,-0.04284996,1.2001501,0.25350678
91_70280,0,-0.8554628,-0.772884,-0.76702094,-0.15601282,-0.004946752,-0.8424435,0.9831902,-0.038842548,-0.5198081,-0.4190783,-0.34262687,-0.39102894,-0.3169492,-0.28547138,-0.1427332,-0.3022608,-0.13280356
91_70281,0,2.697516,2.5226996,2.51639,-0.36916593,-0.05476188,-0.7889006,0.7678967,0.39881578,0.099623285,-0.21438585,-0.45141643,-0.30587095,-0.5249428,-0.6109388,0.010915695,2.12842,0.9983324
91_70282,0,2.2647693,2.193386,2.1765041,-0.36424884,0.46254882,0.4484078,-0.11611106,-0.10878755,0.36142504,0.10814814,-0.099556126,0.029039823,-0.16567123,-0.24244367,-0.08716605,1.2085496,0.24038221
91_70283,0,2.899699,2.679399,2.6809485,-0.36916593,-4.2887373,0.26427656,-0.98607504,-0.043072574,0.2630235,-0.07757497,-0.33067256,-0.17505331,-0.40988484,-0.5039857,0.023642197,2.5355208,1.2248554
91_70284,0,0.14114447,0.4213366,0.47750473,-0.32170933,0.8643384,0.02965249,0.401702,-0.3366536,0.31942505,0.33484283,0.3015952,0.3256625,0.2836623,0.2578138,-0.14694834,0.15319969,-0.2618554
91_70285,0,-1.5767072,-1.8018358,-1.8655119,0.23001422,-0.6003501,-0.72086626,-1.7620625,-0.3748093,-0.9062408,-0.757659,-0.5967785,-0.70255977,-0.53285915,-0.45227745,-0.15927754,-1.1100141,-0.008100765
91_70286,0,1.8296772,1.8353037,1.8051711,-0.36242446,0.84316194,-0.16227081,-0.2924608,-0.31161523,0.56266356,0.3666606,0.19160473,0.3010723,0.13417363,0.06871691,-0.14193411,0.6733813,-0.12671845
91_70287,0,2.2063663,2.1297271,2.0894864,-0.36916593,0.7313766,-0.910252,0.06288625,0.04844984,0.11227256,-0.13597187,-0.33689535,-0.21328638,-0.39887786,-0.46765596,-0.09267079,1.1699519,-0.0059068804
91_70288,0,2.5176153,2.3684487,2.349678,-0.36916593,-0.73560524,-0.49701238,0.040532473,0.14155318,0.12048638,-0.17021595,-0.3937738,-0.25658053,-0.46269655,-0.5421909,-0.040302295,2.2119524,0.32725722
91_70289,0,2.3869705,2.3066258,2.294538,-0.36916593,0.9254452,0.8804803,-0.3919099,-0.32199803,0.7737587,0.50904095,0.28663868,0.42479345,0.21436723,0.12835558,-0.11928922,0.90633,0.12628259
91_70290,0,-0.51208013,-0.3921535,-0.36984107,-0.26651853,0.44793004,-0.2973315,-0.9507984,-0.43078238,-0.028293239,0.040376853,0.08019504,0.05643561,0.09036267,0.1009743,-0.15665555,-0.25585103,-0.31808645
91_70291,0,2.204959,2.1266665,2.0869017,-0.36916593,0.46443295,-0.11950272,-0.5724682,-0.15506148,0.27517995,0.027914435,-0.17417496,-0.04957179,-0.2372436,-0.30786937,-0.096787095,1.4574848,-0.07320949
91_70292,0,-0.040867124,0.30013943,0.3973795,-0.3023452,0.82404995,-0.44599167,0.30621067,-0.31336707,0.18871583,0.22940856,0.21092813,0.22614647,0.19631146,0.17084745,-0.14767085,0.21280865,-0.12185175
91_70293,0,2.154765,2.1168728,2.0813015,-0.36916593,0.85936046,-0.786773,0.031835042,-0.18347532,0.4562125,0.22003418,0.01802177,0.14318894,-0.04638394,-0.11941548,-0.1283688,0.5427766,-0.10544868
91_70294,0,2.9055629,2.6775627,2.6775022,-0.36916593,-1.8817943,-0.31289598,-0.09075358,0.0073459367,0.4349113,0.09392113,-0.1609106,-0.003912141,-0.2410391,-0.33685815,-0.035285242,3.2971883,0.6333024
91_70295,0,0.3278471,-0.1173175,-0.16995879,-0.30833074,0.6807186,-0.5996678,-1.0602658,-0.2834578,-0.28467387,-0.3734747,-0.36615336,-0.37342522,-0.35766953,-0.3425916,-0.15064426,-0.44062757,0.022088919
91_70296,0,2.103633,2.05505,2.0097919,-0.36916593,0.5031143,1.3271762,0.05002936,-0.30345428,0.7143454,0.48455727,0.2850557,0.40895012,0.22103646,0.1483423,-0.14014162,0.5151282,-0.096292816
91_70297,0,-0.62302274,-0.36216027,-0.2505148,-0.2209072,-0.7434849,1.7397118,-2.9448264,-0.4880373,-0.30049917,-0.20616947,-0.16265735,-0.18831111,-0.1535256,-0.15226229,-0.13874446,1.5944142,-0.29658076
91_70298,0,1.9495329,1.8701937,1.8206792,-0.36592016,0.21507095,-0.87276167,-0.30181313,-0.2284247,0.3942803,0.174982,-0.003812565,0.10693628,-0.060264643,-0.12230899,-0.13678527,0.42978328,0.13136762
91_70299,0,1.3547114,1.0928179,0.96514857,-0.36916593,0.5696844,-0.65452784,0.119775675,-0.12801495,0.06381104,-0.113363065,-0.22019084,-0.15541416,-0.24998565,-0.27143243,-0.14553879,0.102415204,-0.5410668
91_70300,0,1.0265746,1.1234232,1.0991213,-0.32490274,0.5155358,-0.53500795,-0.8749341,-0.3545137,0.24686965,0.14536996,0.042476226,0.10820155,0.0071326727,-0.031323865,-0.15055388,0.08154145,-0.35709745
91_70301,0,2.0384276,2.0017967,1.9524981,-0.36916593,0.84435105,-0.67382133,0.057771794,-0.33349174,0.7591928,0.5382118,0.34335336,0.46451184,0.28051743,0.20958847,-0.14828299,0.05921777,-0.16243686
91_70303,0,1.9682969,1.9228349,1.8555725,-0.36916593,0.88173974,-0.35644156,0.35318297,-0.24410571,0.60373265,0.38833198,0.20197605,0.3176858,0.14279485,0.078629896,-0.13817427,0.2760674,-0.27094787
91_70304,0,1.8322573,1.8187767,1.7375385,-0.36916593,0.8696732,-0.7666176,-0.2555254,-0.36592194,0.6688956,0.47231543,0.29531783,0.4057044,0.2387669,0.17904575,-0.15145181,-0.21871574,-0.5799123
91_70305,0,1.8702546,1.8536668,1.7793243,-0.36916593,0.75752664,0.19820878,-0.82593375,-0.4991892,0.9903297,0.79165107,0.6080947,0.72284645,0.5482632,0.4827582,-0.15779226,-0.16894369,-0.41384616
91_70306,0,-0.37604052,0.08467779,0.14321883,-0.33419925,-0.29766423,2.2258646,-0.0034938715,-0.46564806,0.44602737,0.5399213,0.53855234,0.54389364,0.5285808,0.51196134,-0.15649055,-0.044863556,-0.4758877
91_70309,0,2.1352973,2.0966733,2.0597625,-0.36916593,0.7278005,-0.65387905,0.25949663,-0.26837495,0.6963298,0.46387848,0.26125628,0.38716552,0.19587769,0.12090744,-0.13425647,0.5790869,-0.20487075
91_70310,0,0.24856883,0.47152936,0.53006,-0.33651167,0.81920177,2.2088923,-0.12406966,-0.442447,0.5248253,0.523268,0.48265645,0.51132673,0.46221367,0.4321216,-0.15247561,0.0688547,-0.3476599
91_70311,0,-0.19543624,-0.10691168,-0.06915609,-0.24885307,0.40165356,-0.7867707,0.07483469,-0.28439778,-0.05392035,-0.024802696,-0.009762421,-0.017940106,-0.008212009,-0.008872293,-0.15110153,-0.3845184,-0.29600322
91_70312,0,-0.112874284,0.033872914,0.0790325,-0.27300233,0.63487446,-0.8774925,0.6212908,-0.21881099,0.007957077,0.035027936,0.037399743,0.037511613,0.03397231,0.026707286,-0.1449962,0.27009276,-0.33195055
91_70313,0,1.6420364,1.6975795,1.65009,-0.36351356,0.7597395,-0.36042002,-0.9555828,-0.4314233,0.6546583,0.485605,0.32261077,0.4251235,0.26864293,0.2088383,-0.14867072,0.29556626,-0.55887145
91_70314,0,1.0211799,1.2403357,1.2559255,-0.32620707,0.43310285,-0.7718928,0.32817873,-0.14664416,0.16489576,0.07732296,-0.033343505,0.037621636,-0.07278981,-0.11957622,-0.1378606,0.39556032,-0.10939626
91_70315,0,2.6944668,2.531269,2.5219903,-0.36916593,-0.16605002,-0.63643986,0.25698653,-0.18586805,0.7625879,0.4548901,0.21060061,0.3616401,0.13222165,0.038549285,-0.115919925,1.8852594,-0.16659924
91_70316,0,2.7305877,2.5575898,2.5495603,-0.36916593,-1.1959424,-0.0612921,0.034751166,-0.2127864,0.7694327,0.45670983,0.20983641,0.36241028,0.13064924,0.0358701,-0.09995084,1.8077515,0.18462655
91_70317,0,0.58421135,0.6245561,0.62698567,-0.3410374,0.7678793,0.14816222,0.08786321,-0.42860326,0.591631,0.53391063,0.4743048,0.5134722,0.45077294,0.42215502,-0.15468088,-0.02235239,-0.3441067
91_70318,0,2.52817,2.403951,2.3875866,-0.36916593,0.805656,-0.6438661,0.1874949,-0.2385084,0.77802986,0.49332508,0.260765,0.40471423,0.18595515,0.09722344,-0.12379494,1.3730898,-0.06529671
91_70319,0,1.6148285,1.4496763,1.3614669,-0.36916593,0.6743213,-0.005813973,-0.19951743,-0.4253987,0.80634016,0.616681,0.47130257,0.56160736,0.42512617,0.37768054,-0.15240747,0.1193892,-0.4782823
91_70320,0,2.5844624,2.4143567,2.3974946,-0.36916593,-1.1010474,3.2583172,-2.2407198,-0.39087483,0.5565306,0.2591309,0.026591748,0.1699246,-0.04638394,-0.13270423,-0.091027535,3.9058895,0.097596586
91_70321,0,1.8177152,1.7869471,1.6961836,-0.36916593,0.43442547,-0.13975085,0.028477132,-0.471459,1.0870337,0.8931702,0.7144279,0.82632333,0.65616393,0.5938908,-0.15780549,-0.3036232,-0.6957445
91_70322,0,1.8303809,1.8383641,1.76597,-0.36916593,0.6307881,-0.0682972,-0.90428984,-0.5792179,1.3378837,1.1485394,0.9634485,1.0799819,0.9016246,0.8322847,-0.1617658,-0.4112293,-0.66598445
