ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_70257,0,0.9504,0.5437,0.8298,-7.557503919000001,0.978869379,0.075038598,-18.2129964,7.729399999999999,-20.4853,-20.5301,-21.1624,-20.892,-21.4357,-21.7218,2.0142399999999996,0.0234923,104.00399999999999
91_70258,0,1.6858,0.7608999999999999,1.1203,-9.000000000000002,0.948443353,0.130281761,-19.23840198,5.805300000000002,-19.9618,-20.4232,-21.3058,-20.8867,-21.6476,-22.007,4.05422,0.0400358,141.03600000000006
91_70259,0,1.7191,0.7775999999999998,1.1463,-9.000000000000002,0.8928415180000001,0.473722152,-19.30598237,4.1008,-19.245,-19.718,-20.6152,-20.1865,-20.9641,-21.3328,2.5207300000000004,0.0333648,132.91800000000006
91_70260,0,1.1226,0.5989,0.9017,-8.428632811,0.909067214,0.077376139,-18.8352729,4.371499999999999,-19.6664,-19.8034,-20.4983,-20.1901,-20.789,-21.0918,1.25935,0.0282587,94.24539999999999
91_70262,0,1.6451,0.7513,1.1072,-9.000000000000002,0.9823910000000001,0.03897006499999999,-18.87046531,4.1048,-18.9174,-19.3532,-20.2233,-19.8112,-20.5625,-20.9184,1.44751,0.0318693,91.55350000000001
91_70263,0,1.292,0.6481,0.9591,-8.884393749,0.9767777919999999,0.05906685500000002,-18.81801638,3.0240000000000005,-18.7255,-18.9587,-19.7121,-19.3694,-20.0175,-20.3285,0.550263,0.0263014,68.91310000000001
91_70264,0,1.7564,0.7879,1.1615,-9.000000000000002,0.635184526,0.574535412,-19.44184597,2.8375000000000004,-18.5102,-19.0058,-19.9143,-19.4787,-20.2666,-20.6402,1.4688499999999998,0.0400718,113.77199999999998
91_70265,0,1.7356,0.7799,1.1502,-9.000000000000002,0.9643173809999999,0.124132334,-19.15618016,3.2158000000000007,-18.5188,-19.0046,-19.9053,-19.4745,-20.2544,-20.6247,1.22015,0.0382009,94.5949
91_70266,0,0.4531,0.3397,0.5369,-8.197413521999998,0.9770131709999998,0.053428617000000005,-18.66686896,2.6657,-19.4479,-19.2748,-19.6993,-19.5613,-19.901,-20.0982,0.185059,0.0196822,60.12710000000001
91_70267,0,1.6449,0.7508999999999999,1.1065,-8.994546614999999,0.9756612180000002,0.063148038,-18.98679217,3.1244,-18.4414,-18.8772,-19.7474,-19.3354,-20.0863,-20.4419,0.8811360000000001,0.0341707,82.63120000000004
91_70269,0,1.423,0.6959,1.0275,-8.968324315,0.9807339909999999,0.030457556,-18.91774434,2.5216,-18.2566,-18.5517,-19.3582,-18.9837,-19.6796,-20.0112,0.34718499999999997,0.0218979,64.98459999999999
91_70270,0,0.346,0.3248,0.5243,-8.311392344,0.951689839,0.06725492799999999,-18.56876521,2.6255000000000006,-19.3994,-19.1443,-19.5465,-19.4206,-19.7454,-19.9449,0.292164,0.0219299,58.5926
91_70272,0,1.5797,0.7326000000000001,1.0822,-8.967207994000002,0.8408107759999999,0.039382783,-18.94193367,2.9906,-18.3888,-18.7869,-19.6352,-19.2359,-19.9685,-20.3181,0.8568769999999999,0.0331302,81.37690000000002
91_70273,0,1.736,0.7793000000000001,1.1489,-9.000000000000002,0.9111742380000001,0.09231184800000002,-19.02835795,2.7179,-18.024,-18.5108,-19.4112,-18.9807,-19.76,-20.1296,0.772529,0.0403317,88.3878
91_70274,0,0.5454,0.3843,0.603,-8.596782045999998,0.904651403,0.04474675400000001,-19.33610533,1.6094,-18.89,-18.7506,-19.2169,-19.0511,-19.4354,-19.6541,0.10191799999999998,0.0159356,57.5976
91_70275,0,0.911,0.5378,0.8095,-8.779792545,0.979883373,0.057975884999999984,-19.1137366,2.1059,-18.7282,-18.7407,-19.3693,-19.1014,-19.6392,-19.9109,0.252227,0.0232686,54.77240000000002
91_70277,0,1.212,0.606,0.898,-8.915315188,0.9536862970000001,0.17432406099999997,-19.09398893,2.0107,-18.2095,-18.4199,-19.1311,-18.8155,-19.4215,-19.7135,0.30555399999999994,0.0244994,59.3656
91_70278,0,0.8296,0.4871,0.7428,-8.537715549999998,0.9075451489999999,0.059398215,-18.72106038,3.0522,-19.2367,-19.2372,-19.8135,-19.5792,-20.0663,-20.322,0.319759,0.0213837,66.78649999999999
91_70279,0,1.6183,0.746,1.098,-9.000000000000002,0.969073892,0.03803970500000001,-18.84100304,2.4281999999999995,-17.8276,-18.2439,-19.1085,-18.6999,-19.4459,-19.7979,0.432802,0.0265209,61.08199999999997
91_70280,0,0.2233,0.2431,0.3905,-8.592940534,0.908491731,0.065350607,-18.57592635,1.7378,-18.8466,-18.5728,-18.9043,-18.8268,-19.0699,-19.2173,0.078068,0.0145009,50.1119
