ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_625185,0,0.3112,0.2523,0.3972,-8.855292033,0.905211568,0.253530562,-19.75353203,0.5699,-17.5836,-17.3817,-17.7287,-17.6425,-17.8948,-18.0397,0.014226,0.0122468,42.5367
91_625954,0,0.251,0.2519,0.411,-7.371015151,0.909010947,0.035829042,-18.42120127,3.5485,-20.1458,-19.8881,-20.2273,-20.1449,-20.3968,-20.5559,0.226373,0.0174531,61.7074
91_626297,0,0.4715,0.2973,0.4602,-8.849877308,0.988307953,0.182480631,-19.40902422,0.7305,-17.5449,-17.44,-17.8348,-17.7191,-18.0164,-18.1793,0.018056,0.0126321,41.7309
91_626796,0,0.4084,0.3264,0.5188,-8.295871346,0.932482362,0.098885207,-18.69376072,2.4879,-19.3827,-19.1841,-19.5939,-19.4647,-19.7911,-19.9835,0.21735,0.0207647,58.7275
91_626999,0,0.4515,0.3342,0.528,-8.406665017,0.963007331,0.072018743,-19.63779588,1.5727,-19.3083,-19.1408,-19.5604,-19.4256,-19.7598,-19.9536,0.109107,0.0166882,59.8759
91_627168,0,0.9131,0.5196,0.797,-8.522803898,0.622870624,0.205397659,-19.47173329,1.9407,-18.8116,-18.8541,-19.4587,-19.2051,-19.7247,-20.0021,0.517904,0.0270086,70.4117
91_627226,0,0.27,0.2653,0.4177,-8.884810447,0.955300093,0.102883353,-19.49131702,0.6209,-17.5318,-17.2758,-17.6288,-17.5365,-17.8018,-17.9542,0.01205,0.0103453,40.4374
91_627481,0,0.3585,0.2796,0.4449,-8.09931011,0.945070863,0.077025056,-19.49141274,1.8106,-19.6457,-19.4557,-19.8261,-19.7246,-20.0042,-20.1695,0.139298,0.0158087,62.1475
91_627714,0,0.4553,0.3335,0.5256,-8.851112459,0.969808459,0.26104198,-19.18519318,0.9504,-17.7711,-17.6078,-18.0277,-17.8929,-18.2264,-18.4185,0.040121,0.0152025,49.0707
91_627806,0,0.4829,0.3358,0.5244,-8.508873834,0.979555547,0.075559844,-19.21002628,1.5986,-18.91,-18.7699,-19.1942,-19.0571,-19.3929,-19.5815,0.121598,0.0170297,58.4087
91_627970,0,0.5129,0.3448,0.534,-8.294370599,0.951545477,0.089959136,-19.68612097,1.721,-19.5229,-19.3993,-19.8345,-19.691,-20.0358,-20.225,0.119431,0.0157849,59.9754
91_628649,0,0.4228,0.2969,0.4612,-8.446908467,0.957278252,0.038082674,-19.34523533,1.6076,-19.2071,-19.0564,-19.4474,-19.333,-19.6299,-19.7942,0.068213,0.0149083,59.57
91_628958,0,0.1903,0.1972,0.3135,-8.485312316,0.827446163,0.123204914,-19.73365194,0.9488,-18.898,-18.6475,-18.9434,-18.8911,-19.0883,-19.2046,0.02365,0.00882033,53.1343
91_629096,0,0.394,0.2793,0.4432,-8.85684949,0.959218681,0.221645356,-19.72033096,0.6642,-17.685,-17.5294,-17.9023,-17.7997,-18.079,-18.2429,0.018264,0.0161333,44.5385
91_629290,0,0.4299,0.3231,0.5183,-8.17172415,0.962115765,0.160988989,-19.00136623,2.2426,-19.4091,-19.2353,-19.6431,-19.5159,-19.839,-20.0342,0.30379,0.0249226,63.5299
91_629512,0,0.8068,0.496,0.7655,-8.164883912,0.993998706,0.068717833,-18.47113525,4.48,-19.7804,-19.7496,-20.3294,-20.0912,-20.5872,-20.8567,0.84778,0.0254115,79.1799
91_629640,0,0.4478,0.3152,0.4973,-8.275998683,0.938744187,0.059040191,-19.56693082,1.6099,-19.3343,-19.1861,-19.5909,-19.4669,-19.7821,-19.9642,0.10192,0.0150357,63.5461
91_629833,0,0.378,0.3124,0.4977,-8.141636954,0.898648322,0.113528571,-18.76319733,2.5892,-19.6082,-19.3977,-19.7942,-19.6738,-19.9862,-20.1715,0.237616,0.018394,60.6542
91_629981,0,0.629,0.3986,0.6139,-8.398945316,0.978954375,0.080144578,-18.85771828,2.4563,-19.2222,-19.143,-19.6299,-19.4526,-19.8512,-20.0665,0.283798,0.024854,61.4053
91_630286,0,0.4504,0.346,0.5518,-8.781198465,0.93890214,0.158065918,-18.28611094,1.7547,-18.1343,-17.9514,-18.3801,-18.2387,-18.5847,-18.7905,0.084304,0.016963,47.4736
91_630287,0,0.7873,0.4537,0.6915,-8.867874586,0.986665487,0.201024376,-19.09227534,1.1746,-17.6831,-17.6864,-18.2298,-18.0167,-18.4704,-18.7082,0.059331,0.0172064,47.4208
91_630898,0,0.4273,0.3111,0.4839,-8.546872233,0.936105371,0.109666528,-19.04221338,1.8645,-19.1758,-19.0115,-19.4146,-19.292,-19.6031,-19.7759,0.101461,0.0170809,55.6429
91_631771,0,0.3524,0.2801,0.446,-8.321084088,0.92781359,0.071894955,-19.37231,1.592,-19.264,-19.0681,-19.4379,-19.3363,-19.6164,-19.7823,0.113153,0.0154755,60.7473
91_632013,0,0.409,0.337,0.5359,-7.94228166,0.941299319,0.064736259,-18.72816158,2.9479,-19.7731,-19.5628,-19.9799,-19.8451,-20.1821,-20.381,0.321627,0.0177883,63.2709
91_632414,0,0.4916,0.3535,0.5489,-8.647213684,0.960033357,0.143616108,-18.94902115,1.7555,-18.7915,-18.6371,-19.0781,-18.9296,-19.2831,-19.4785,0.140032,0.0220775,56.2984
91_632558,0,0.3547,0.2781,0.4456,-8.785092677,0.948860586,0.199077515,-18.83558729,1.1117,-17.9331,-17.7423,-18.1101,-18.0097,-18.2878,-18.4553,0.04646,0.0165875,55.8259
91_632559,0,0.4512,0.3073,0.4805,-8.803943361,0.975288391,0.085002797,-18.60688514,1.4,-18.096,-17.9594,-18.3606,-18.2399,-18.5472,-18.7204,0.055489,0.0156488,43.805
91_632879,0,0.3821,0.2882,0.4528,-8.291315091,0.953405261,0.097022707,-19.4850424,1.6502,-19.4331,-19.2546,-19.6346,-19.527,-19.8152,-19.9798,0.088215,0.0145731,58.7027
