SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,SFR,BulgeMass,EffectiveRadius,VelocityDispersion,Metallicity,ID,phase_5
744836,91,0,-0.1564003175741452,0.22282044235062876,0.29485842829096803,0.32229636796862204,0.3379394628183145,-0.7937094735616287,-0.792440767156881,-0.27646209777713304,-0.03843128013786927,-0.5864224344629784,-0.5203555466303428,-0.11169618824296582,91_744836,0.0
744963,91,0,-0.15487875291258893,0.28388917010931003,0.33035355568061525,0.35005572662103895,0.3612275290298335,-0.5290258245930718,-0.5500021078707155,-0.3309432028568166,-0.03785694056745017,-0.578333308684297,-0.6038657862161267,-0.05586728864519171,91_744963,0.0
745295,91,0,-0.15289445173290367,0.2180885901541941,0.2566667718438152,0.26623334951374406,0.26915092544064356,-0.43708924740709076,-0.4021434366195277,-0.2921596016270506,-0.040136168568785914,-0.2731093969496643,-0.4374487303764576,-0.0700437369723753,91_745295,0.0
745445,91,0,-0.1401930926985258,0.3533638941228307,0.19514188436842778,0.1299947716568858,0.09096763823796791,1.640560280337244,1.6352499300902748,-0.3591792281194988,-0.03886089850500987,-0.29382967100307833,-0.19282801072270303,0.08262711182952223,91_745445,0.0
745454,91,0,-0.15356008261499351,0.2702503020137068,0.3298032436280619,0.35103546869112384,0.36106617984130146,-0.6666378987249543,-0.6586245395440741,-0.28307876522027764,-0.03584719983652759,-0.5941222440277127,-0.5660950351882723,0.14240203312661548,91_745454,0.0
745520,91,0,-0.15665529483741686,0.2477600868683027,0.32677652733902157,0.35985314732189005,0.38010538408813094,-0.871006468393154,-0.8923899248182985,-0.28721468201227274,-0.040046835118495966,-0.46794053335170316,-0.5357641388878293,-0.33492044353917105,91_745520,0.0
745701,91,0,-0.15357982833038755,0.15139730860916134,0.19299566736347354,0.21000704071385026,0.22042347050384253,-0.46109816246839785,-0.4702905895704942,-0.281726830480922,-0.04184000939729704,-0.3102674667030727,-0.5662192694036634,-0.2456508369015651,91_745701,0.0
745786,91,0,-0.1578085590073653,0.5539387584022561,0.5412331342187895,0.5321244613118833,0.5263953150242242,0.06768355217453735,0.0719955426999237,-0.3335177983634105,-0.04005144794844284,-0.49891280103906105,-0.4067167350377524,-0.34866757932036374,91_745786,0.0
745827,91,0,-0.1517846853691222,0.2917384778704527,0.25540105412294317,0.23684108741118493,0.22359667121164775,0.35110586655679726,0.36729987215411164,-0.3182506714470799,-0.04053293953146961,-0.48009585069827787,-0.34439730304865024,0.20146447828355402,91_745827,0.0
745921,91,0,-0.14734075502503835,0.06911874924058459,0.0963058397299736,0.10713412335489733,0.11361030769535674,-0.2977204233926738,-0.3001292137171721,-0.31191289856247223,-0.03244086992454472,-0.5649667853387752,-0.47291227454705165,0.31716877658280257,91_745921,0.0
746135,91,0,-0.14597458054783555,-0.014829875609088494,0.027461801955637348,0.03871546879394191,0.041756135735568675,-0.44821532999647706,-0.40379548881227845,-0.28160391002154284,-0.02992855038798107,-0.5560557697750941,-0.3248676843891957,0.6950094886020971,91_746135,0.0
746234,91,0,-0.1574199404618544,0.34840936652891935,0.3990875310444412,0.4171136283068733,0.426305035071257,-0.5817283210691119,-0.5801520603884159,-0.32406515979843614,-0.04167632996984125,-0.4523246274367085,-0.5306811847038345,-0.26615736170473975,91_746234,0.0
746488,91,0,-0.15473480951780166,0.23467790726639826,0.274661975962286,0.2924686649460261,0.3025502074668626,-0.45407116293825933,-0.4781378374860601,-0.31342858853239774,-0.036605900533504994,-0.5908346848877138,-0.5660524406001384,0.057489492115341205,91_746488,0.0
746513,91,0,-0.15665157463129248,0.21224336097036386,0.29403296021213904,0.32752165900907815,0.34842716007292457,-0.8961865500428176,-0.9105624989385561,-0.2729390169153717,-0.03809155281584737,-0.5834809341798215,-0.5377589854321067,-0.2668058976784704,91_746513,0.0
746590,91,0,-0.15839749639160777,0.5031687677769894,0.5602189000318566,0.5755596930856628,0.5832440124504944,-0.6683946486074891,-0.6342567697010014,-0.31645700933098,-0.03799909345515385,-0.48744960140617016,-0.37917223471107725,-0.42409870708188524,91_746590,0.0
746974,91,0,-0.15418479122196116,0.22805331419139052,0.2781289418933674,0.2900193097708128,0.29340708678335703,-0.5606473224786959,-0.5087008030519479,-0.2746301815239693,-0.039582003793079544,-0.5166915748093179,-0.4288836686125056,0.24110738146652852,91_746974,0.0
747237,91,1,-0.16202584289400146,0.9677809846174216,1.0433928821730827,1.0756635897491866,1.0963882150465492,-0.9225377982808376,-0.9820137562750241,-0.34717378047371333,-0.040922043734226206,-0.5741806024021932,-0.6778880812950547,-1.0377105619117015,91_747237,3.0
747345,91,0,-0.1540683201260097,0.41738307089811294,0.4533482994261311,0.46000455893060666,0.4580370421493074,-0.4335757476420215,-0.3938831756557742,-0.32139595341003935,-0.037835363337259086,-0.4326425299538205,-0.48643605627960734,-0.06061712957955731,91_747345,0.0
747569,91,0,-0.15342787218290393,0.2661864760097103,0.3358016450008855,0.3609961797369907,0.37338250123261224,-0.7732140582653908,-0.764355879880119,-0.3092981187444399,-0.03520757098070649,-0.5994861563087635,-0.5393953275262555,0.09493102671142713,91_747569,0.0
