[Fold 1][Epoch 074] train_loss=0.6233 acc=0.7174 f1=0.7126 | val_loss=0.6641 acc=0.6888 f1=0.6838 | epoch_time=5.80s
[Fold 1][Epoch 075] train_loss=0.6167 acc=0.7207 f1=0.7174 | val_loss=0.6620 acc=0.6966 f1=0.6932 | epoch_time=5.76s
[Fold 1][Epoch 076] train_loss=0.6189 acc=0.7235 f1=0.7210 | val_loss=0.6647 acc=0.6910 f1=0.6865 | epoch_time=5.79s
[Fold 1][Epoch 077] train_loss=0.6138 acc=0.7334 f1=0.7306 | val_loss=0.6617 acc=0.6966 f1=0.6931 | epoch_time=5.80s
[Fold 1][Epoch 078] train_loss=0.6182 acc=0.7193 f1=0.7151 | val_loss=0.6651 acc=0.6844 f1=0.6773 | epoch_time=5.80s
[Fold 1][Epoch 079] train_loss=0.6137 acc=0.7257 f1=0.7224 | val_loss=0.6598 acc=0.6988 f1=0.6956 | epoch_time=5.82s
[Fold 1][Epoch 080] train_loss=0.6149 acc=0.7177 f1=0.7155 | val_loss=0.6603 acc=0.6977 f1=0.6939 | epoch_time=5.81s
[Fold 1][Epoch 081] train_loss=0.6132 acc=0.7207 f1=0.7173 | val_loss=0.6617 acc=0.6955 f1=0.6910 | epoch_time=5.77s
[Fold 1][Epoch 082] train_loss=0.6173 acc=0.7290 f1=0.7261 | val_loss=0.6630 acc=0.6921 f1=0.6875 | epoch_time=5.80s
[Fold 1][Epoch 083] train_loss=0.6143 acc=0.7174 f1=0.7136 | val_loss=0.6626 acc=0.6877 f1=0.6826 | epoch_time=5.78s
[Fold 1][Epoch 084] train_loss=0.6146 acc=0.7218 f1=0.7190 | val_loss=0.6606 acc=0.6910 f1=0.6871 | epoch_time=5.79s
[Fold 1][Epoch 085] train_loss=0.6192 acc=0.7226 f1=0.7200 | val_loss=0.6599 acc=0.6932 f1=0.6893 | epoch_time=5.77s
[Fold 1][Epoch 086] train_loss=0.6168 acc=0.7246 f1=0.7219 | val_loss=0.6604 acc=0.6944 f1=0.6893 | epoch_time=5.77s
[Fold 1][Epoch 087] train_loss=0.6147 acc=0.7215 f1=0.7185 | val_loss=0.6609 acc=0.6910 f1=0.6861 | epoch_time=5.79s
[Fold 1][Epoch 088] train_loss=0.6118 acc=0.7246 f1=0.7220 | val_loss=0.6603 acc=0.6955 f1=0.6907 | epoch_time=5.76s
[Fold 1][Epoch 089] train_loss=0.6125 acc=0.7293 f1=0.7268 | val_loss=0.6598 acc=0.6977 f1=0.6929 | epoch_time=5.80s
[Fold 1][Epoch 090] train_loss=0.6159 acc=0.7249 f1=0.7220 | val_loss=0.6600 acc=0.6966 f1=0.6921 | epoch_time=5.79s
[Fold 1][Epoch 091] train_loss=0.6121 acc=0.7210 f1=0.7180 | val_loss=0.6609 acc=0.6921 f1=0.6871 | epoch_time=5.80s
[Fold 1][Epoch 092] train_loss=0.6104 acc=0.7218 f1=0.7186 | val_loss=0.6611 acc=0.6921 f1=0.6869 | epoch_time=5.81s
[Fold 1][Epoch 093] train_loss=0.6134 acc=0.7229 f1=0.7196 | val_loss=0.6610 acc=0.6944 f1=0.6896 | epoch_time=5.78s
[Fold 1][Epoch 094] train_loss=0.6126 acc=0.7237 f1=0.7214 | val_loss=0.6606 acc=0.6955 f1=0.6910 | epoch_time=5.82s
[Fold 1][Epoch 095] train_loss=0.6144 acc=0.7318 f1=0.7290 | val_loss=0.6606 acc=0.6944 f1=0.6898 | epoch_time=5.80s
[Fold 1][Epoch 096] train_loss=0.6108 acc=0.7185 f1=0.7158 | val_loss=0.6606 acc=0.6932 f1=0.6888 | epoch_time=5.79s
[Fold 1][Epoch 097] train_loss=0.6106 acc=0.7215 f1=0.7188 | val_loss=0.6605 acc=0.6932 f1=0.6888 | epoch_time=5.79s
[Fold 1][Epoch 098] train_loss=0.6135 acc=0.7282 f1=0.7259 | val_loss=0.6605 acc=0.6932 f1=0.6888 | epoch_time=5.80s
[Fold 1][Epoch 099] train_loss=0.6122 acc=0.7243 f1=0.7213 | val_loss=0.6606 acc=0.6944 f1=0.6898 | epoch_time=5.76s
[Fold 1][Epoch 100] train_loss=0.6123 acc=0.7254 f1=0.7229 | val_loss=0.6606 acc=0.6944 f1=0.6898 | epoch_time=5.82s
[Fold 1][Epoch 101] train_loss=0.6135 acc=0.7232 f1=0.7210 | val_loss=0.6606 acc=0.6944 f1=0.6898 | epoch_time=5.76s
[Fold 1][Epoch 102] train_loss=0.6127 acc=0.7229 f1=0.7198 | val_loss=0.6607 acc=0.6955 f1=0.6909 | epoch_time=5.79s
[Fold 1][Epoch 103] train_loss=0.6130 acc=0.7262 f1=0.7234 | val_loss=0.6608 acc=0.6955 f1=0.6909 | epoch_time=5.78s
[Fold 1][Epoch 104] train_loss=0.6144 acc=0.7221 f1=0.7192 | val_loss=0.6607 acc=0.6955 f1=0.6909 | epoch_time=5.92s
Early stopping at epoch 104 (best=89)
Total training time: 603.14s
