SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
702418,91,0,8.607665513,-18.8073,-19.0217,-19.1467,-19.2386,0.2144,0.3394,1.039,40.6129,0.0104349,-0.404046883,7.629361983
702433,91,0,8.868298495,-17.9165,-18.2204,-18.3983,-18.5347,0.3039,0.4818,1.0379,47.0881,0.0170793,-0.706890754,7.995420088
702556,91,0,8.722940774,-17.7439,-18.0315,-18.1953,-18.3226,0.2876,0.4514,0.8667,38.1624,0.01683,-0.829385599,8.104324864
702614,91,0,8.762850602,-17.9892,-18.3123,-18.4856,-18.6121,0.3231,0.4964,1.1757,42.4922,0.0156215,-0.807985272,8.361839458
702740,91,0,8.312138363,-17.327,-17.6443,-17.8213,-17.9489,0.3173,0.4943,0.673,41.8499,0.0135079,-0.938116449,7.555749393
702879,91,0,8.780973671,-17.7823,-18.1492,-18.3497,-18.4963,0.3669,0.5674,0.8113,44.0263,0.0159873,-0.928132133,8.207533826
703026,91,0,8.743417637,-17.7712,-18.1708,-18.3883,-18.5469,0.3996,0.6171,1.0058,46.0864,0.0161777,-0.916814775,8.150270826
703239,91,0,8.617876583,-18.0051,-18.307,-18.4708,-18.5882,0.3019,0.4657,0.4903,38.0115,0.0140531,-0.779291692,7.672570402
703310,91,0,8.359962568,-17.7819,-18.0559,-18.2112,-18.3246,0.274,0.4293,0.5433,41.0302,0.0119646,-0.78783903,7.877968889
703441,91,0,8.513330863,-17.8928,-18.1588,-18.3076,-18.4155,0.266,0.4148,0.7948,45.1623,0.0112593,-0.906030665,7.980626388
703579,91,0,8.442757884,-17.7928,-18.0406,-18.1832,-18.2859,0.2478,0.3904,0.8205,39.0952,0.0114339,-0.86221646,7.787282871
703823,91,0,8.823023093,-18.1639,-18.3895,-18.5443,-18.6716,0.2256,0.3804,1.1936,45.9667,0.0170678,-0.603407214,8.155061619
703844,91,0,9.031947862,-17.7315,-18.192,-18.4326,-18.6102,0.4605,0.7011,1.0316,45.7972,0.019521,-1.076491743,8.442308245
703921,91,0,8.563729054,-17.6824,-18.072,-18.2747,-18.4157,0.3896,0.5923,0.8434,45.06,0.0135233,-0.950575554,7.810164764
703954,91,0,8.261102999,-17.738,-18.0071,-18.1609,-18.2727,0.2691,0.4229,0.6541,41.0807,0.0113148,-0.811614302,7.266456872
704023,91,0,8.756495286,-17.8609,-18.1945,-18.3863,-18.5313,0.3336,0.5254,1.0551,43.7657,0.0150527,-0.787639559,7.811955061
704136,91,0,8.956076508,-17.9653,-18.2972,-18.5024,-18.6603,0.3319,0.5371,1.0777,47.4587,0.018359,-0.753756622,8.11865926
704659,91,0,8.786888843,-17.2933,-17.7668,-18.0114,-18.1848,0.4735,0.7181,0.9286,46.3808,0.0176953,-1.176711892,8.004225643
704689,91,0,8.163559954,-17.7708,-18.0163,-18.1575,-18.2586,0.2455,0.3867,0.704,41.8987,0.00925016,-0.765858407,7.47560426
