SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
399777,91,0,-0.1614371525388724,0.31317098487782924,0.348568884620107,0.3562063296165742,0.3580005452591839,-0.4148370822283181,-0.37942771896920563,-0.3192217396238592,-0.5675219538907625,-0.08575474929373855,-0.26437656307677215,-0.28171202396541006
399781,91,0,-0.5847270448920939,0.8154710127416217,0.7085279981947945,0.6603073821480406,0.6332622608955555,1.0385806539220312,1.0396851146036468,-0.4833401524811717,-0.7436434767269691,-0.3275125185434587,-1.5090328420850634,-0.9840113439884858
400813,91,0,-0.4015306871941888,0.5646828463306284,0.5434343824290014,0.533376353956994,0.5254272198930293,0.15727779618380575,0.14220776089182846,-0.4479556343690784,-0.5640185490167385,-0.10467190424579864,-0.805880682956212,-0.15653400066320974
402143,91,0,0.9329933213884549,-0.9230114842281641,-0.9341534786748623,-0.942169633706422,-0.9470992577170144,0.23106129125026184,0.3012177844440834,0.5534954399745272,0.7651420241567677,-0.007382373876705964,0.9545439209043206,0.3484810807114814
402145,91,0,0.4129443730745457,-0.32228893067854814,-0.3490066731956297,-0.3618901776409199,-0.3695229458336645,0.32358345173042125,0.3549094807084813,0.041155302419965206,0.13473857022405963,0.0685785438351869,0.2638457065912998,-0.14154003689151762
402146,91,0,0.43728696300720277,0.4326920044748108,0.2339388840733915,0.15437946317900994,0.1032301765664343,2.0621802521455646,2.0387636781696337,-0.20346505201021445,-0.11162142844516797,0.20921950703985479,-2.5285333135477694,0.035416082540313525
402147,91,0,-0.5022217199939164,0.7240070932270241,0.6131038882821667,0.5751786822806313,0.5586651527307164,1.0918687336922497,1.0070570837968205,-0.48052842426933046,-0.6797444954278963,-0.5332537054774027,-1.4194416571016548,-0.507231436912537
402152,91,0,-0.10308014502750022,1.2365501893748614,1.0084480668359892,0.9095973088697352,0.8387135609602159,2.276503737814795,2.2721160503956703,-0.44847472265434146,-0.8170907448660876,0.33509942611003246,-0.3238886969214921,0.4077078067023661
403499,91,0,0.16898517109425384,-0.38291230764226997,-0.3233071003414223,-0.2997309863055101,-0.28562136779678576,-0.5875841540108937,-0.5665226297982227,-0.4627496504990734,-0.24536488563702205,0.3874755567209023,0.4744194728126334,0.5442890251543817
403500,91,0,0.12568205726731288,0.36388530665372626,0.2797798780510259,0.2420119483366353,0.21832593105291934,0.8506084164908218,0.8633285430275096,-0.3487232571696386,-0.2489676778833591,0.029867340220107362,-0.7234357588706773,0.31229745599568914
405301,91,0,1.0696019750639274,-0.7561719426668438,-0.7953647790210832,-0.818613272645669,-0.8368977619493473,0.5092133559849177,0.6014782704765234,0.4041710432472098,0.5825709707672663,0.6837651536209352,0.7886619580714722,0.6216186839738584
